#   x         y(x)            y(x)^2      classical p(x)    V
   9.157 -0.40690940E-15  0.16557526E-30  0.00000000E+00   41.920945
   9.165 -0.37683710E-15  0.14200620E-30  0.00000000E+00   42.000605
   9.174 -0.34895990E-15  0.12177301E-30  0.00000000E+00   42.080340
   9.183 -0.32311962E-15  0.10440629E-30  0.00000000E+00   42.160151
   9.191 -0.29916935E-15  0.89502300E-31  0.00000000E+00   42.240038
   9.200 -0.27697260E-15  0.76713822E-31  0.00000000E+00   42.320000
   9.209 -0.25640263E-15  0.65742309E-31  0.00000000E+00   42.400038
   9.217 -0.23734172E-15  0.56331094E-31  0.00000000E+00   42.480151
   9.226 -0.21968058E-15  0.48259557E-31  0.00000000E+00   42.560340
   9.235 -0.20331770E-15  0.41338088E-31  0.00000000E+00   42.640605
   9.243 -0.18815886E-15  0.35403758E-31  0.00000000E+00   42.720945
   9.252 -0.17411658E-15  0.30316583E-31  0.00000000E+00   42.801361
   9.261 -0.16110964E-15  0.25956316E-31  0.00000000E+00   42.881853
   9.270 -0.14906267E-15  0.22219680E-31  0.00000000E+00   42.962420
   9.278 -0.13790570E-15  0.19017983E-31  0.00000000E+00   43.043062
   9.287 -0.12757381E-15  0.16275076E-31  0.00000000E+00   43.123781
   9.296 -0.11800673E-15  0.13925588E-31  0.00000000E+00   43.204575
   9.304 -0.10914855E-15  0.11913406E-31  0.00000000E+00   43.285444
   9.313 -0.10094740E-15  0.10190378E-31  0.00000000E+00   43.366389
   9.322 -0.93355151E-16  0.87151842E-32  0.00000000E+00   43.447410
   9.330 -0.86327144E-16  0.74523758E-32  0.00000000E+00   43.528507
   9.339 -0.79821966E-16  0.63715462E-32  0.00000000E+00   43.609679
   9.348 -0.73801198E-16  0.54466168E-32  0.00000000E+00   43.690926
   9.357 -0.68229211E-16  0.46552253E-32  0.00000000E+00   43.772250
   9.365 -0.63072963E-16  0.39781986E-32  0.00000000E+00   43.853648
   9.374 -0.58301811E-16  0.33991011E-32  0.00000000E+00   43.935123
   9.383 -0.53887344E-16  0.29038458E-32  0.00000000E+00   44.016673
   9.391 -0.49803220E-16  0.24803607E-32  0.00000000E+00   44.098299
   9.400 -0.46025018E-16  0.21183023E-32  0.00000000E+00   44.180000
   9.409 -0.42530099E-16  0.18088093E-32  0.00000000E+00   44.261777
   9.417 -0.39297478E-16  0.15442918E-32  0.00000000E+00   44.343629
   9.426 -0.36307706E-16  0.13182495E-32  0.00000000E+00   44.425558
   9.435 -0.33542757E-16  0.11251165E-32  0.00000000E+00   44.507561
   9.443 -0.30985926E-16  0.96012760E-33  0.00000000E+00   44.589641
   9.452 -0.28621734E-16  0.81920365E-33  0.00000000E+00   44.671796
   9.461 -0.26435839E-16  0.69885359E-33  0.00000000E+00   44.754026
   9.470 -0.24414953E-16  0.59608995E-33  0.00000000E+00   44.836333
   9.478 -0.22546767E-16  0.50835670E-33  0.00000000E+00   44.918715
   9.487 -0.20819877E-16  0.43346727E-33  0.00000000E+00   45.001172
   9.496 -0.19223721E-16  0.36955144E-33  0.00000000E+00   45.083705
   9.504 -0.17748516E-16  0.31500982E-33  0.00000000E+00   45.166314
   9.513 -0.16385203E-16  0.26847488E-33  0.00000000E+00   45.248998
   9.522 -0.15125392E-16  0.22877750E-33  0.00000000E+00   45.331758
   9.530 -0.13961315E-16  0.19491833E-33  0.00000000E+00   45.414594
   9.539 -0.12885779E-16  0.16604331E-33  0.00000000E+00   45.497505
   9.548 -0.11892125E-16  0.14142263E-33  0.00000000E+00   45.580491
   9.557 -0.10974187E-16  0.12043279E-33  0.00000000E+00   45.663554
   9.565 -0.10126260E-16  0.10254115E-33  0.00000000E+00   45.746692
   9.574 -0.93430621E-17  0.87292809E-34  0.00000000E+00   45.829905
   9.583 -0.86197037E-17  0.74299292E-34  0.00000000E+00   45.913195
   9.591 -0.79516610E-17  0.63228913E-34  0.00000000E+00   45.996560
   9.600 -0.73347473E-17  0.53798518E-34  0.00000000E+00   46.080000
   9.609 -0.67650885E-17  0.45766422E-34  0.00000000E+00   46.163516
   9.617 -0.62391000E-17  0.38926369E-34  0.00000000E+00   46.247108
   9.626 -0.57534655E-17  0.33102365E-34  0.00000000E+00   46.330775
   9.635 -0.53051167E-17  0.28144263E-34  0.00000000E+00   46.414518
   9.643 -0.48912153E-17  0.23923987E-34  0.00000000E+00   46.498336
   9.652 -0.45091359E-17  0.20332306E-34  0.00000000E+00   46.582231
   9.661 -0.41564499E-17  0.17276076E-34  0.00000000E+00   46.666200
   9.670 -0.38309111E-17  0.14675880E-34  0.00000000E+00   46.750246
   9.678 -0.35304421E-17  0.12464022E-34  0.00000000E+00   46.834367
   9.687 -0.32531216E-17  0.10582800E-34  0.00000000E+00   46.918563
   9.696 -0.29971726E-17  0.89830434E-35  0.00000000E+00   47.002836
   9.704 -0.27609519E-17  0.76228554E-35  0.00000000E+00   47.087183
   9.713 -0.25429400E-17  0.64665436E-35  0.00000000E+00   47.171607
   9.722 -0.23417314E-17  0.54837060E-35  0.00000000E+00   47.256106
   9.730 -0.21560266E-17  0.46484509E-35  0.00000000E+00   47.340681
   9.739 -0.19846238E-17  0.39387317E-35  0.00000000E+00   47.425331
   9.748 -0.18264113E-17  0.33357783E-35  0.00000000E+00   47.510057
   9.757 -0.16803611E-17  0.28236134E-35  0.00000000E+00   47.594858
   9.765 -0.15455221E-17  0.23886387E-35  0.00000000E+00   47.679735
   9.774 -0.14210147E-17  0.20192827E-35  0.00000000E+00   47.764688
   9.783 -0.13060247E-17  0.17057004E-35  0.00000000E+00   47.849716
   9.791 -0.11997988E-17  0.14395171E-35  0.00000000E+00   47.934820
   9.800 -0.11016396E-17  0.12136098E-35  0.00000000E+00   48.020000
   9.809 -0.10109014E-17  0.10219217E-35  0.00000000E+00   48.105255
   9.817 -0.92698599E-18  0.85930303E-36  0.00000000E+00   48.190586
   9.826 -0.84933897E-18  0.72137669E-36  0.00000000E+00   48.275992
   9.835 -0.77744626E-18  0.60442269E-36  0.00000000E+00   48.361474
   9.843 -0.71083086E-18  0.50528051E-36  0.00000000E+00   48.447032
   9.852 -0.64904977E-18  0.42126560E-36  0.00000000E+00   48.532665
   9.861 -0.59169124E-18  0.35009852E-36  0.00000000E+00   48.618374
   9.870 -0.53837211E-18  0.28984453E-36  0.00000000E+00   48.704159
   9.878 -0.48873538E-18  0.23886227E-36  0.00000000E+00   48.790019
   9.887 -0.44244787E-18  0.19576012E-36  0.00000000E+00   48.875955
   9.896 -0.39919815E-18  0.15935916E-36  0.00000000E+00   48.961966
   9.904 -0.35869446E-18  0.12866172E-36  0.00000000E+00   49.048053
   9.913 -0.32066286E-18  0.10282467E-36  0.00000000E+00   49.134216
   9.922 -0.28484540E-18  0.81136904E-37  0.00000000E+00   49.220454
   9.930 -0.25099850E-18  0.63000248E-37  0.00000000E+00   49.306767
   9.939 -0.21889128E-18  0.47913391E-37  0.00000000E+00   49.393157
   9.948 -0.18830405E-18  0.35458414E-37  0.00000000E+00   49.479622
   9.957 -0.15902687E-18  0.25289546E-37  0.00000000E+00   49.566163
   9.965 -0.13085814E-18  0.17123853E-37  0.00000000E+00   49.652779
   9.974 -0.10360322E-18  0.10733628E-37  0.00000000E+00   49.739471
   9.983 -0.77073141E-19  0.59402691E-38  0.00000000E+00   49.826238
   9.991 -0.51083279E-19  0.26095014E-38  0.00000000E+00   49.913081
  10.000 -0.25452124E-19  0.64781060E-39  0.00000000E+00   50.000000


