#   x         y(x)            y(x)^2      classical p(x)    V
   8.358 -0.33483535E-12  0.11211471E-24  0.00000000E+00   34.930868
   8.367 -0.31324469E-12  0.98122234E-25  0.00000000E+00   35.000556
   8.375 -0.29302496E-12  0.85863628E-25  0.00000000E+00   35.070312
   8.383 -0.27409052E-12  0.75125614E-25  0.00000000E+00   35.140139
   8.392 -0.25636097E-12  0.65720949E-25  0.00000000E+00   35.210035
   8.400 -0.23976087E-12  0.57485275E-25  0.00000000E+00   35.280000
   8.408 -0.22421941E-12  0.50274343E-25  0.00000000E+00   35.350035
   8.417 -0.20967015E-12  0.43961571E-25  0.00000000E+00   35.420139
   8.425 -0.19605075E-12  0.38435897E-25  0.00000000E+00   35.490313
   8.433 -0.18330273E-12  0.33599890E-25  0.00000000E+00   35.560556
   8.442 -0.17137121E-12  0.29368091E-25  0.00000000E+00   35.630868
   8.450 -0.16020472E-12  0.25665552E-25  0.00000000E+00   35.701250
   8.458 -0.14975498E-12  0.22426554E-25  0.00000000E+00   35.771701
   8.467 -0.13997670E-12  0.19593477E-25  0.00000000E+00   35.842222
   8.475 -0.13082742E-12  0.17115813E-25  0.00000000E+00   35.912812
   8.483 -0.12226729E-12  0.14949291E-25  0.00000000E+00   35.983472
   8.492 -0.11425899E-12  0.13055116E-25  0.00000000E+00   36.054201
   8.500 -0.10676747E-12  0.11399293E-25  0.00000000E+00   36.125000
   8.508 -0.99759921E-13  0.99520419E-26  0.00000000E+00   36.195868
   8.517 -0.93205549E-13  0.86872743E-26  0.00000000E+00   36.266806
   8.525 -0.87075500E-13  0.75821427E-26  0.00000000E+00   36.337813
   8.533 -0.81342727E-13  0.66166392E-26  0.00000000E+00   36.408889
   8.542 -0.75981878E-13  0.57732458E-26  0.00000000E+00   36.480035
   8.550 -0.70969193E-13  0.50366264E-26  0.00000000E+00   36.551250
   8.558 -0.66282406E-13  0.43933573E-26  0.00000000E+00   36.622535
   8.567 -0.61900650E-13  0.38316905E-26  0.00000000E+00   36.693889
   8.575 -0.57804375E-13  0.33413458E-26  0.00000000E+00   36.765312
   8.583 -0.53975264E-13  0.29133291E-26  0.00000000E+00   36.836806
   8.592 -0.50396154E-13  0.25397724E-26  0.00000000E+00   36.908368
   8.600 -0.47050970E-13  0.22137938E-26  0.00000000E+00   36.980000
   8.608 -0.43924652E-13  0.19293751E-26  0.00000000E+00   37.051701
   8.617 -0.41003096E-13  0.16812539E-26  0.00000000E+00   37.123472
   8.625 -0.38273092E-13  0.14648295E-26  0.00000000E+00   37.195312
   8.633 -0.35722267E-13  0.12760803E-26  0.00000000E+00   37.267222
   8.642 -0.33339037E-13  0.11114914E-26  0.00000000E+00   37.339201
   8.650 -0.31112555E-13  0.96799105E-27  0.00000000E+00   37.411250
   8.658 -0.29032663E-13  0.84289552E-27  0.00000000E+00   37.483368
   8.667 -0.27089854E-13  0.73386016E-27  0.00000000E+00   37.555556
   8.675 -0.25275225E-13  0.63883699E-27  0.00000000E+00   37.627813
   8.683 -0.23580445E-13  0.55603736E-27  0.00000000E+00   37.700139
   8.692 -0.21997713E-13  0.48389939E-27  0.00000000E+00   37.772535
   8.700 -0.20519732E-13  0.42105940E-27  0.00000000E+00   37.845000
   8.708 -0.19139669E-13  0.36632693E-27  0.00000000E+00   37.917535
   8.717 -0.17851132E-13  0.31866292E-27  0.00000000E+00   37.990139
   8.725 -0.16648140E-13  0.27716055E-27  0.00000000E+00   38.062812
   8.733 -0.15525095E-13  0.24102856E-27  0.00000000E+00   38.135556
   8.742 -0.14476761E-13  0.20957661E-27  0.00000000E+00   38.208368
   8.750 -0.13498241E-13  0.18220250E-27  0.00000000E+00   38.281250
   8.758 -0.12584951E-13  0.15838100E-27  0.00000000E+00   38.354201
   8.767 -0.11732607E-13  0.13765406E-27  0.00000000E+00   38.427222
   8.775 -0.10937199E-13  0.11962232E-27  0.00000000E+00   38.500312
   8.783 -0.10194979E-13  0.10393760E-27  0.00000000E+00   38.573472
   8.792 -0.95024409E-14  0.90296383E-28  0.00000000E+00   38.646701
   8.800 -0.88563065E-14  0.78434165E-28  0.00000000E+00   38.720000
   8.808 -0.82535109E-14  0.68120441E-28  0.00000000E+00   38.793368
   8.817 -0.76911883E-14  0.59154377E-28  0.00000000E+00   38.866806
   8.825 -0.71666598E-14  0.51361013E-28  0.00000000E+00   38.940312
   8.833 -0.66774211E-14  0.44587953E-28  0.00000000E+00   39.013889
   8.842 -0.62211315E-14  0.38702477E-28  0.00000000E+00   39.087535
   8.850 -0.57956031E-14  0.33589015E-28  0.00000000E+00   39.161250
   8.858 -0.53987911E-14  0.29146945E-28  0.00000000E+00   39.235035
   8.867 -0.50287849E-14  0.25288677E-28  0.00000000E+00   39.308889
   8.875 -0.46837988E-14  0.21937972E-28  0.00000000E+00   39.382812
   8.883 -0.43621647E-14  0.19028481E-28  0.00000000E+00   39.456806
   8.892 -0.40623237E-14  0.16502474E-28  0.00000000E+00   39.530868
   8.900 -0.37828198E-14  0.14309726E-28  0.00000000E+00   39.605000
   8.908 -0.35222926E-14  0.12406545E-28  0.00000000E+00   39.679201
   8.917 -0.32794716E-14  0.10754934E-28  0.00000000E+00   39.753472
   8.925 -0.30531698E-14  0.93218460E-29  0.00000000E+00   39.827813
   8.933 -0.28422791E-14  0.80785503E-29  0.00000000E+00   39.902222
   8.942 -0.26457642E-14  0.70000681E-29  0.00000000E+00   39.976701
   8.950 -0.24626586E-14  0.60646875E-29  0.00000000E+00   40.051250
   8.958 -0.22920599E-14  0.52535386E-29  0.00000000E+00   40.125868
   8.967 -0.21331254E-14  0.45502238E-29  0.00000000E+00   40.200556
   8.975 -0.19850684E-14  0.39404965E-29  0.00000000E+00   40.275312
   8.983 -0.18471546E-14  0.34119800E-29  0.00000000E+00   40.350139
   8.992 -0.17186984E-14  0.29539243E-29  0.00000000E+00   40.425035
   9.000 -0.15990601E-14  0.25569933E-29  0.00000000E+00   40.500000
   9.008 -0.14876426E-14  0.22130804E-29  0.00000000E+00   40.575035
   9.017 -0.13838884E-14  0.19151472E-29  0.00000000E+00   40.650139
   9.025 -0.12872777E-14  0.16570839E-29  0.00000000E+00   40.725313
   9.033 -0.11973252E-14  0.14335875E-29  0.00000000E+00   40.800556
   9.042 -0.11135780E-14  0.12400560E-29  0.00000000E+00   40.875868
   9.050 -0.10356139E-14  0.10724962E-29  0.00000000E+00   40.951250
   9.058 -0.96303888E-15  0.92744389E-30  0.00000000E+00   41.026701
   9.067 -0.89548528E-15  0.80189388E-30  0.00000000E+00   41.102222
   9.075 -0.83261030E-15  0.69323991E-30  0.00000000E+00   41.177812
   9.083 -0.77409418E-15  0.59922180E-30  0.00000000E+00   41.253472
   9.092 -0.71963874E-15  0.51787991E-30  0.00000000E+00   41.329201
   9.100 -0.66896588E-15  0.44751535E-30  0.00000000E+00   41.405000
   9.108 -0.62181631E-15  0.38665552E-30  0.00000000E+00   41.480868
   9.117 -0.57794826E-15  0.33402419E-30  0.00000000E+00   41.556806
   9.125 -0.53713632E-15  0.28851542E-30  0.00000000E+00   41.632812
   9.133 -0.49917036E-15  0.24917105E-30  0.00000000E+00   41.708889
   9.142 -0.46385451E-15  0.21516100E-30  0.00000000E+00   41.785035
   9.150 -0.43100617E-15  0.18576632E-30  0.00000000E+00   41.861250
   9.158 -0.40045517E-15  0.16036435E-30  0.00000000E+00   41.937535
   9.167 -0.37204293E-15  0.13841594E-30  0.00000000E+00   42.013889
   9.175 -0.34562163E-15  0.11945431E-30  0.00000000E+00   42.090313
   9.183 -0.32105357E-15  0.10307540E-30  0.00000000E+00   42.166806
   9.192 -0.29821043E-15  0.88929460E-31  0.00000000E+00   42.243368
   9.200 -0.27697264E-15  0.76713844E-31  0.00000000E+00   42.320000
   9.208 -0.25722883E-15  0.66166673E-31  0.00000000E+00   42.396701
   9.217 -0.23887525E-15  0.57061385E-31  0.00000000E+00   42.473472
   9.225 -0.22181525E-15  0.49202003E-31  0.00000000E+00   42.550312
   9.233 -0.20595881E-15  0.42419030E-31  0.00000000E+00   42.627222
   9.242 -0.19122210E-15  0.36565890E-31  0.00000000E+00   42.704201
   9.250 -0.17752704E-15  0.31515851E-31  0.00000000E+00   42.781250
   9.258 -0.16480094E-15  0.27159351E-31  0.00000000E+00   42.858368
   9.267 -0.15297611E-15  0.23401691E-31  0.00000000E+00   42.935556
   9.275 -0.14198952E-15  0.20161022E-31  0.00000000E+00   43.012813
   9.283 -0.13178248E-15  0.17366622E-31  0.00000000E+00   43.090139
   9.292 -0.12230038E-15  0.14957383E-31  0.00000000E+00   43.167535
   9.300 -0.11349238E-15  0.12880519E-31  0.00000000E+00   43.245000
   9.308 -0.10531114E-15  0.11090436E-31  0.00000000E+00   43.322535
   9.317 -0.97712619E-16  0.95477559E-32  0.00000000E+00   43.400139
   9.325 -0.90655830E-16  0.82184796E-32  0.00000000E+00   43.477812
   9.333 -0.84102627E-16  0.70732519E-32  0.00000000E+00   43.555556
   9.342 -0.78017515E-16  0.60867327E-32  0.00000000E+00   43.633368
   9.350 -0.72367470E-16  0.52370508E-32  0.00000000E+00   43.711250
   9.358 -0.67121769E-16  0.45053319E-32  0.00000000E+00   43.789201
   9.367 -0.62251829E-16  0.38752902E-32  0.00000000E+00   43.867222
   9.375 -0.57731062E-16  0.33328755E-32  0.00000000E+00   43.945312
   9.383 -0.53534737E-16  0.28659681E-32  0.00000000E+00   44.023472
   9.392 -0.49639854E-16  0.24641151E-32  0.00000000E+00   44.101701
   9.400 -0.46025022E-16  0.21183026E-32  0.00000000E+00   44.180000
   9.408 -0.42670346E-16  0.18207585E-32  0.00000000E+00   44.258368
   9.417 -0.39557331E-16  0.15647825E-32  0.00000000E+00   44.336806
   9.425 -0.36668777E-16  0.13445992E-32  0.00000000E+00   44.415313
   9.433 -0.33988694E-16  0.11552313E-32  0.00000000E+00   44.493889
   9.442 -0.31502216E-16  0.99238961E-33  0.00000000E+00   44.572535
   9.450 -0.29195524E-16  0.85237861E-33  0.00000000E+00   44.651250
   9.458 -0.27055773E-16  0.73201485E-33  0.00000000E+00   44.730035
   9.467 -0.25071024E-16  0.62855625E-33  0.00000000E+00   44.808889
   9.475 -0.23230182E-16  0.53964135E-33  0.00000000E+00   44.887812
   9.483 -0.21522934E-16  0.46323671E-33  0.00000000E+00   44.966806
   9.492 -0.19939700E-16  0.39759165E-33  0.00000000E+00   45.045868
   9.500 -0.18471576E-16  0.34119912E-33  0.00000000E+00   45.125000
   9.508 -0.17110289E-16  0.29276200E-33  0.00000000E+00   45.204201
   9.517 -0.15848155E-16  0.25116402E-33  0.00000000E+00   45.283472
   9.525 -0.14678034E-16  0.21544469E-33  0.00000000E+00   45.362813
   9.533 -0.13593295E-16  0.18477766E-33  0.00000000E+00   45.442222
   9.542 -0.12587777E-16  0.15845213E-33  0.00000000E+00   45.521701
   9.550 -0.11655760E-16  0.13585674E-33  0.00000000E+00   45.601250
   9.558 -0.10791930E-16  0.11646576E-33  0.00000000E+00   45.680868
   9.567 -0.99913539E-17  0.99827153E-34  0.00000000E+00   45.760556
   9.575 -0.92494493E-17  0.85552313E-34  0.00000000E+00   45.840312
   9.583 -0.85619624E-17  0.73307201E-34  0.00000000E+00   45.920139
   9.592 -0.79249435E-17  0.62804729E-34  0.00000000E+00   46.000035
   9.600 -0.73347257E-17  0.53798200E-34  0.00000000E+00   46.080000
   9.608 -0.67879049E-17  0.46075653E-34  0.00000000E+00   46.160035
   9.617 -0.62813214E-17  0.39454999E-34  0.00000000E+00   46.240139
   9.625 -0.58120423E-17  0.33779835E-34  0.00000000E+00   46.320312
   9.633 -0.53773451E-17  0.28915841E-34  0.00000000E+00   46.400556
   9.642 -0.49747036E-17  0.24747676E-34  0.00000000E+00   46.480868
   9.650 -0.46017729E-17  0.21176314E-34  0.00000000E+00   46.561250
   9.658 -0.42563773E-17  0.18116748E-34  0.00000000E+00   46.641701
   9.667 -0.39364976E-17  0.15496013E-34  0.00000000E+00   46.722222
   9.675 -0.36402602E-17  0.13251495E-34  0.00000000E+00   46.802813
   9.683 -0.33659269E-17  0.11329464E-34  0.00000000E+00   46.883472
   9.692 -0.31118846E-17  0.96838257E-35  0.00000000E+00   46.964201
   9.700 -0.28766368E-17  0.82750392E-35  0.00000000E+00   47.045000
   9.708 -0.26587950E-17  0.70691907E-35  0.00000000E+00   47.125868
   9.717 -0.24570710E-17  0.60371977E-35  0.00000000E+00   47.206806
   9.725 -0.22702695E-17  0.51541236E-35  0.00000000E+00   47.287812
   9.733 -0.20972817E-17  0.43985904E-35  0.00000000E+00   47.368889
   9.742 -0.19370786E-17  0.37522733E-35  0.00000000E+00   47.450035
   9.750 -0.17887054E-17  0.31994671E-35  0.00000000E+00   47.531250
   9.758 -0.16512764E-17  0.27267136E-35  0.00000000E+00   47.612535
   9.767 -0.15239691E-17  0.23224819E-35  0.00000000E+00   47.693889
   9.775 -0.14060207E-17  0.19768941E-35  0.00000000E+00   47.775313
   9.783 -0.12967225E-17  0.16814893E-35  0.00000000E+00   47.856806
   9.792 -0.11954170E-17  0.14290217E-35  0.00000000E+00   47.938368
   9.800 -0.11014931E-17  0.12132871E-35  0.00000000E+00   48.020000
   9.808 -0.10143835E-17  0.10289739E-35  0.00000000E+00   48.101701
   9.817 -0.93356079E-18  0.87153575E-36  0.00000000E+00   48.183472
   9.825 -0.85853463E-18  0.73708171E-36  0.00000000E+00   48.265312
   9.833 -0.78884895E-18  0.62228267E-36  0.00000000E+00   48.347222
   9.842 -0.72407926E-18  0.52429078E-36  0.00000000E+00   48.429201
   9.850 -0.66383019E-18  0.44067052E-36  0.00000000E+00   48.511250
   9.858 -0.60773314E-18  0.36933957E-36  0.00000000E+00   48.593368
   9.867 -0.55544419E-18  0.30851825E-36  0.00000000E+00   48.675556
   9.875 -0.50664204E-18  0.25668615E-36  0.00000000E+00   48.757812
   9.883 -0.46102612E-18  0.21254508E-36  0.00000000E+00   48.840139
   9.892 -0.41831483E-18  0.17498730E-36  0.00000000E+00   48.922535
   9.900 -0.37824387E-18  0.14306842E-36  0.00000000E+00   49.005000
   9.908 -0.34056465E-18  0.11598428E-36  0.00000000E+00   49.087535
   9.917 -0.30504281E-18  0.93051119E-37  0.00000000E+00   49.170139
   9.925 -0.27145685E-18  0.73688821E-37  0.00000000E+00   49.252813
   9.933 -0.23959672E-18  0.57406590E-37  0.00000000E+00   49.335556
   9.942 -0.20926263E-18  0.43790849E-37  0.00000000E+00   49.418368
   9.950 -0.18026378E-18  0.32495029E-37  0.00000000E+00   49.501250
   9.958 -0.15241720E-18  0.23231002E-37  0.00000000E+00   49.584201
   9.967 -0.12554664E-18  0.15761960E-37  0.00000000E+00   49.667222
   9.975 -0.99481490E-19  0.98965668E-38  0.00000000E+00   49.750312
   9.983 -0.74055664E-19  0.54842413E-38  0.00000000E+00   49.833472
   9.992 -0.49106608E-19  0.24114590E-38  0.00000000E+00   49.916701
  10.000 -0.24474254E-19  0.59898910E-39  0.00000000E+00   50.000000


